title,trailer_url
Toy Story (1995),https://www.youtube.com/watch?v=v-PjgYDrg70
Jumanji (1995),https://www.youtube.com/watch?v=eTjDsENDZ6s
Grumpier Old Men (1995),https://www.youtube.com/watch?v=1lMmYysiB9A
Waiting to Exhale (1995),https://www.youtube.com/watch?v=t5iE3Wt2cJs
Father of the Bride Part II (1995),https://www.youtube.com/watch?v=BbvnDlu_Zjc
Heat (1995),https://www.youtube.com/watch?v=2GfZl4kuVNI
Sabrina (1995),https://www.youtube.com/watch?v=ptrnB3vMt5A
Sudden Death (1995),https://www.youtube.com/watch?v=tyq2TbL1OG8
GoldenEye (1995),https://www.youtube.com/watch?v=8Zw8ylP4buA
"American President, The (1995)",https://www.youtube.com/watch?v=dyGibtCfMLM
Dracula: Dead and Loving It (1995),https://www.youtube.com/watch?v=ctsxTvTQUZI
Balto (1995),https://www.youtube.com/watch?v=HJwvbmRXym4
Nixon (1995),https://www.youtube.com/watch?v=4eFxWLPRuoo
Cutthroat Island (1995),https://www.youtube.com/watch?v=7z8IARBbpzU
Casino (1995),https://www.youtube.com/watch?v=EJXDMwGWhoA
Sense and Sensibility (1995),https://www.youtube.com/watch?v=2WGq2Rbs1Qg
Four Rooms (1995),https://www.youtube.com/watch?v=0hu12MP7b1U
Ace Ventura: When Nature Calls (1995),https://www.youtube.com/watch?v=T8aos7_L4kA
Money Train (1995),https://www.youtube.com/watch?v=UvX1KeYzSjw
Get Shorty (1995),https://www.youtube.com/watch?v=t2QcA-KoF5s
Copycat (1995),https://www.youtube.com/watch?v=5Pp64srMAH4
Assassins (1995),https://www.youtube.com/watch?v=XCuD8Q_Y10Q
Powder (1995),https://www.youtube.com/watch?v=dM1jktXwcSI
Leaving Las Vegas (1995),https://www.youtube.com/watch?v=O4HrGa2-RLc
Othello (1995),https://www.youtube.com/watch?v=WIIjya_5Oro
Now and Then (1995),https://www.youtube.com/watch?v=RQLVzTtt2Ws
Persuasion (1995),https://www.youtube.com/watch?v=Fz7HmgPJQak
"City of Lost Children, The (Cité des enfants perdus, La) (1995)",https://www.youtube.com/watch?v=Pa7oVPru4J8
Dangerous Minds (1995),https://www.youtube.com/watch?v=5OGZlKXC0xk
Twelve Monkeys (a.k.a. 12 Monkeys) (1995),https://www.youtube.com/watch?v=gkeCy-9Sf2k
Babe (1995),https://www.youtube.com/watch?v=yuzXPzgBDvo
Carrington (1995),https://www.youtube.com/watch?v=w60AMje46pA
Dead Man Walking (1995),https://www.youtube.com/watch?v=a-tLJ-OXN9I
Clueless (1995),https://www.youtube.com/watch?v=Mgjwq1ZzdPQ
Richard III (1995),https://www.youtube.com/watch?v=OXc0-EME0C8
Dead Presidents (1995),https://www.youtube.com/watch?v=m1ij4rgf8BU
Restoration (1995),https://www.youtube.com/watch?v=CvsAuHYBgEQ
Mortal Kombat (1995),https://www.youtube.com/watch?v=JHIfHL5UgFs
To Die For (1995),https://www.youtube.com/watch?v=gSz13CIyX7M
How to Make an American Quilt (1995),https://www.youtube.com/watch?v=8KmWa408RVQ
Seven (a.k.a. Se7en) (1995),https://www.youtube.com/watch?v=znmZoVkCjpI
Pocahontas (1995),https://www.youtube.com/watch?v=Z0oi7Qpp6W4
"Usual Suspects, The (1995)",https://www.youtube.com/watch?v=x3t0Nc6fg7w
Mighty Aphrodite (1995),https://www.youtube.com/watch?v=6hsIc9reo7k
Home for the Holidays (1995),https://www.youtube.com/watch?v=vEguAZ0RqnQ
"Postman, The (Postino, Il) (1994)",https://www.youtube.com/watch?v=SgbbmwHpoAA
"Indian in the Cupboard, The (1995)",https://www.youtube.com/watch?v=H6AEYBcwsR8
Eye for an Eye (1996),https://www.youtube.com/watch?v=WJjRn_GH9R8
Mr. Holland's Opus (1995),https://www.youtube.com/watch?v=jPt_INy_CtM
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),https://www.youtube.com/watch?v=JAAhQwcJ20U
Two if by Sea (1996),https://www.youtube.com/watch?v=cN2omT-8oRs
Bio-Dome (1996),https://www.youtube.com/watch?v=4xD1ujNkZXs
Lawnmower Man 2: Beyond Cyberspace (1996),https://www.youtube.com/watch?v=nr00jk_43ws
Friday (1995),https://www.youtube.com/watch?v=umvFBoLOOgo
From Dusk Till Dawn (1996),https://www.youtube.com/watch?v=jNuIn4T-CLk
